state	score
California	8
Massachusetts	8
New York	8 
Connecticut	7
Illinois	7
Maine	7
New Hampshire	7
Oregon	7
Vermont	7
Delaware	6
Iowa	6
Maryland	6
Nevada	6
Rhode Island	6
Colorado	5
New Jersey	5
New Mexico	5
Washington	5
Wisconsin	5
Arizona	4
Minnesota	4
Pennsylvania	4
Alaska	3
Hawaii	3
Indiana	3
Kansas	3
Florida	2
Missouri	2
Virginia	2
West Virginia	2
Wyoming	2
Idaho	1
Montana	1
Oklahoma	1
Utah	1
Nebraska	0
Ohio	0
South Carolina	0
Texas	0
Kentucky	-1
Louisiana	-1
Michigan	-1
North Carolina	-1
North Dakota	-1
South Dakota	-1
Tennessee	-1
Arkansas	-2
Georgia	-2
Mississippi	-2
Alabama	-3
