state	score
New York	4
Massachusetts	4
California	4
Maine	3
Vermont	3
New Hampshire	3
Connecticut	3
Oregon	3
Maryland	3
Illinois	3
Rhode Island	3
Nevada	3
Washington	3
Wisconsin	3
New Mexico	3
Colorado	3
Iowa	2
Delaware	2
New Jersey	2
Minnesota	2
Florida1	2
Arizona	2
Pennsylvania	1
Hawaii	1
Kansas	1
Alaska	1
Ohio	0
Nebraska	0
Missouri	0
Indiana	0
Wyoming	0
West Virginia	0
Virginia	0
Texas2	0
South Dakota	-1
North Dakota	-1
Michigan	-1
Tennessee	-1
Louisiana	-1
Kentucky	-1
Utah	-1
Oklahoma	-1
Montana	-1
Idaho	-1
Mississippi	-2
Georgia	-2
Arkansas	-2
South Carolina	-2
North Carolina	-3
Alabama	-3
